VRBORAN 110/35/10 TR1 POLOŽAJ REG SKLOPKE ;;;;VRBORAN 110/35/10 TR2 POLOŽAJ REG SKLOPKE ;;;;VRBORAN 35 TP1 STRUJA ;;;;VRBORAN 35 TP1 RADNA SNAGA ;;;;VRBORAN 35 TP1 JALOVA SNAGA ;;;;VRBORAN 35 TP1 NAPON ;;;;VRBORAN 35 TP2 STRUJA ;;;;VRBORAN 35 TP2 RADNA SNAGA ;;;;VRBORAN 35 TP2 JALOVA SNAGA ;;;;VRBORAN 35 TP2 NAPON ;;;;
4.12.2024. 9:48:26;;3;;4.12.2024. 9:49:04;;3;;4.12.2024. 9:30:10;;67,774551;;4.12.2024. 9:30:12;;4,121786;;4.12.2024. 9:29:50;;0,166781;;4.12.2024. 9:29:50;;34,534924;;4.12.2024. 9:29:00;;66,955658;;4.12.2024. 9:30:12;;3,890254;;4.12.2024. 9:29:48;;0,09178;;4.12.2024. 9:29:18;;34,633453;;
4.12.2024. 9:49:04;;2;;4.12.2024. 9:50:56;;3;;4.12.2024. 9:31:32;;67,727303;;4.12.2024. 9:30:38;;4,116169;;4.12.2024. 9:31:24;;0,159155;;4.12.2024. 9:30:40;;34,549549;;4.12.2024. 9:30:48;;65,124283;;4.12.2024. 9:30:58;;3,986707;;4.12.2024. 9:30:48;;0,143379;;4.12.2024. 9:30:40;;34,421539;;
4.12.2024. 9:50:56;;2;;4.12.2024. 9:52:48;;3;;4.12.2024. 9:31:46;;69,109947;;4.12.2024. 9:30:58;;4,214664;;4.12.2024. 9:31:52;;0,230776;;4.12.2024. 9:31:18;;34,8629;;4.12.2024. 9:31:20;;64,215675;;4.12.2024. 9:31:16;;3,887454;;4.12.2024. 9:31:14;;0,088435;;4.12.2024. 9:32:16;;34,744564;;
4.12.2024. 9:52:48;;2;;4.12.2024. 9:54:40;;3;;4.12.2024. 9:33:06;;69,140419;;4.12.2024. 9:32:56;;4,192239;;4.12.2024. 9:32:22;;0,164762;;4.12.2024. 9:33:40;;34,867165;;4.12.2024. 9:32:50;;65,729866;;4.12.2024. 9:32:52;;3,981663;;4.12.2024. 9:32:34;;0,088182;;4.12.2024. 9:33:38;;34,777771;;
4.12.2024. 9:54:40;;2;;4.12.2024. 9:56:32;;3;;4.12.2024. 9:33:54;;67,261475;;4.12.2024. 9:33:34;;4,112062;;4.12.2024. 9:33:04;;0,196512;;4.12.2024. 9:34:08;;34,535637;;4.12.2024. 9:33:34;;63,7981;;4.12.2024. 9:33:32;;3,876317;;4.12.2024. 9:33:04;;0,119171;;4.12.2024. 9:34:08;;34,439659;;
4.12.2024. 9:56:32;;2;;4.12.2024. 9:58:24;;3;;4.12.2024. 9:34:28;;68,221062;;4.12.2024. 9:34:10;;4,157599;;4.12.2024. 9:34:16;;0,180323;;4.12.2024. 9:34:24;;34,588936;;4.12.2024. 9:34:24;;64,244461;;4.12.2024. 9:34:14;;3,900351;;4.12.2024. 9:34:20;;0,099196;;4.12.2024. 9:34:10;;34,439659;;
4.12.2024. 9:57:52;;2;;4.12.2024. 9:59:32;;4;;4.12.2024. 9:36:00;;66,827286;;4.12.2024. 9:35:54;;4,018404;;4.12.2024. 9:35:32;;-0,816693;;4.12.2024. 9:35:24;;34,994156;;4.12.2024. 9:35:04;;69,185318;;4.12.2024. 9:34:30;;4,058025;;4.12.2024. 9:35:56;;1,144852;;4.12.2024. 9:35:56;;34,919121;;
4.12.2024. 9:58:24;;3;;4.12.2024. 10:00:16;;2;;4.12.2024. 9:36:22;;66,341354;;4.12.2024. 9:36:26;;4,020155;;4.12.2024. 9:36:54;;-0,76932;;4.12.2024. 9:36:02;;34,899502;;4.12.2024. 9:36:44;;67,253639;;4.12.2024. 9:36:24;;3,976686;;4.12.2024. 9:36:04;;1,118868;;4.12.2024. 9:36:08;;34,813931;;
4.12.2024. 9:59:28;;4;;4.12.2024. 10:02:08;;2;;4.12.2024. 9:37:38;;68,114883;;4.12.2024. 9:37:36;;4,166366;;4.12.2024. 9:37:48;;-0,814012;;4.12.2024. 9:37:16;;35,186642;;4.12.2024. 9:37:52;;68,683273;;4.12.2024. 9:37:40;;4,091281;;4.12.2024. 9:37:04;;1,158654;;4.12.2024. 9:37:18;;35,048401;;
4.12.2024. 10:00:16;;2;;4.12.2024. 10:04:00;;2;;4.12.2024. 9:38:54;;68,911072;;4.12.2024. 9:38:30;;4,183845;;4.12.2024. 9:38:12;;-0,760756;;4.12.2024. 9:38:10;;34,988281;;4.12.2024. 9:37:54;;68,683273;;4.12.2024. 9:37:54;;4,065749;;4.12.2024. 9:38:04;;1,184346;;4.12.2024. 9:38:10;;34,854282;;
