SINJ 110 TP1 STRUJA ;;;;SINJ 110 TP2 STRUJA ;;;;SINJ 110/35 TR1 POLOŽAJ REG SKLOPKE ;;;;SINJ 110/35 TR2 POLOŽAJ REG SKLOPKE ;;;;SINJ 35 MP1 NAPON ;;;;SINJ 35 MP2 NAPON ;;;;SINJ 35 TP1 7SJ STRUJA ;;;;SINJ 35 TP1 7SJ RADNA SNAGA ;;;;SINJ 35 TP1 7SJ JALOVA SNAGA ;;;;SINJ 35 TP1 NAPON ;;;;SINJ 35 TP2 7SJ STRUJA ;;;;SINJ 35 TP2 7SJ RADNA SNAGA ;;;;SINJ 35 TP2 7SJ JALOVA SNAGA ;;;;SINJ 35 TP2 NAPON ;;;;
4.12.2024. 9:34:48;;49,231194;;4.12.2024. 9:36:00;;69,371231;;4.12.2024. 9:54:40;;4;;4.12.2024. 9:54:40;;4;;4.12.2024. 9:34:16;;34,618404;;4.12.2024. 9:35:44;;34,930389;;4.12.2024. 9:35:52;;168,579559;;4.12.2024. 9:34:54;;-9,806418;;4.12.2024. 9:34:48;;-0,576276;;4.12.2024. 9:34:58;;34,610569;;4.12.2024. 9:36:00;;228,253738;;4.12.2024. 9:36:00;;-13,904009;;4.12.2024. 9:36:00;;-0,705542;;4.12.2024. 9:34:06;;34,563988;;
4.12.2024. 9:38:38;;49,231194;;4.12.2024. 9:38:18;;70,117157;;4.12.2024. 9:55:38;;4;;4.12.2024. 9:55:36;;4;;4.12.2024. 9:37:06;;35,091885;;4.12.2024. 9:36:24;;34,807926;;4.12.2024. 9:36:42;;162,612152;;4.12.2024. 9:38:10;;-10,155853;;4.12.2024. 9:36:48;;-0,711936;;4.12.2024. 9:37:12;;34,983227;;4.12.2024. 9:37:38;;228,253738;;4.12.2024. 9:36:10;;-13,904009;;4.12.2024. 9:36:48;;-0,705542;;4.12.2024. 9:36:10;;34,703735;;
4.12.2024. 9:38:40;;49,977127;;4.12.2024. 9:38:40;;69,371231;;4.12.2024. 9:55:40;;1;;4.12.2024. 9:55:38;;1;;4.12.2024. 9:38:06;;34,818935;;4.12.2024. 9:38:40;;35,03133;;4.12.2024. 9:37:58;;167,087708;;4.12.2024. 9:38:30;;-9,901491;;4.12.2024. 9:38:26;;-0,838422;;4.12.2024. 9:38:12;;34,750317;;4.12.2024. 9:38:40;;229,74559;;4.12.2024. 9:37:26;;-14,056348;;4.12.2024. 9:38:40;;-0,635488;;4.12.2024. 9:38:26;;34,936646;;
4.12.2024. 9:39:46;;50,723053;;4.12.2024. 9:39:08;;69,371231;;4.12.2024. 9:59:22;;5;;4.12.2024. 9:59:22;;5;;4.12.2024. 9:39:56;;35,045113;;4.12.2024. 9:38:44;;35,03133;;4.12.2024. 9:39:30;;167,087708;;4.12.2024. 9:39:42;;-10,212286;;4.12.2024. 9:39:08;;-0,800615;;4.12.2024. 9:39:58;;34,936646;;4.12.2024. 9:39:26;;226,761887;;4.12.2024. 9:41:06;;-14,058016;;4.12.2024. 9:40:52;;-0,653279;;4.12.2024. 9:40:18;;34,890064;;
4.12.2024. 9:41:20;;49,231194;;4.12.2024. 9:41:20;;70,117157;;4.12.2024. 9:59:34;;1;;4.12.2024. 9:59:34;;1;;4.12.2024. 9:41:06;;34,714832;;4.12.2024. 9:41:14;;34,640011;;4.12.2024. 9:41:20;;161,120285;;4.12.2024. 9:41:20;;-9,736921;;4.12.2024. 9:41:20;;-0,691086;;4.12.2024. 9:41:20;;34,470821;;4.12.2024. 9:40:56;;231,237442;;4.12.2024. 9:41:20;;-13,854527;;4.12.2024. 9:41:20;;-0,588785;;4.12.2024. 9:41:20;;34,470821;;
4.12.2024. 9:41:58;;48,485268;;4.12.2024. 9:42:24;;70,863083;;4.12.2024. 10:02:40;;3;;4.12.2024. 10:02:40;;3;;4.12.2024. 9:41:56;;34,073921;;4.12.2024. 9:41:54;;34,166046;;4.12.2024. 9:41:46;;161,120285;;4.12.2024. 9:42:00;;-9,585693;;4.12.2024. 9:41:58;;-0,653557;;4.12.2024. 9:41:56;;34,005001;;4.12.2024. 9:41:56;;229,74559;;4.12.2024. 9:41:56;;-13,747222;;4.12.2024. 9:42:00;;-0,471195;;4.12.2024. 9:41:54;;33,72551;;
4.12.2024. 9:42:32;;51,468979;;4.12.2024. 9:43:14;;69,371231;;4.12.2024. 10:05:20;;3;;4.12.2024. 10:05:20;;3;;4.12.2024. 9:42:26;;36,175125;;4.12.2024. 9:42:24;;35,490429;;4.12.2024. 9:42:22;;168,579559;;4.12.2024. 9:42:24;;-10,273444;;4.12.2024. 9:42:24;;-1,504767;;4.12.2024. 9:42:02;;35,775124;;4.12.2024. 9:43:20;;225,270035;;4.12.2024. 9:42:12;;-14,268734;;4.12.2024. 9:42:26;;-1,398296;;4.12.2024. 9:43:14;;35,262722;;
4.12.2024. 9:46:28;;49,231194;;4.12.2024. 9:44:14;;70,117157;;4.12.2024. 10:07:30;;4;;4.12.2024. 10:08:00;;3;;4.12.2024. 9:45:06;;35,115227;;4.12.2024. 9:45:14;;35,419254;;4.12.2024. 9:44:38;;162,612152;;4.12.2024. 9:45:50;;-9,910666;;4.12.2024. 9:45:52;;-0,862607;;4.12.2024. 9:45:58;;35,262722;;4.12.2024. 9:46:32;;228,253738;;4.12.2024. 9:44:44;;-14,104162;;4.12.2024. 9:45:48;;-1,007996;;4.12.2024. 9:46:10;;35,169556;;
4.12.2024. 9:46:40;;49,977127;;4.12.2024. 9:45:46;;71,609009;;4.12.2024. 10:07:40;;1;;4.12.2024. 10:08:48;;1;;4.12.2024. 9:45:26;;35,517597;;4.12.2024. 9:46:34;;34,985668;;4.12.2024. 9:46:14;;165,595856;;4.12.2024. 9:46:40;;-10,121104;;4.12.2024. 9:46:40;;-0,8248;;4.12.2024. 9:46:40;;35,216137;;4.12.2024. 9:46:40;;231,237442;;4.12.2024. 9:46:40;;-14,282077;;4.12.2024. 9:46:40;;-0,889572;;4.12.2024. 9:46:40;;35,216137;;
4.12.2024. 9:48:32;;49,977127;;4.12.2024. 9:48:34;;70,117157;;4.12.2024. 10:08:48;;1;;4.12.2024. 10:10:40;;3;;4.12.2024. 9:48:26;;35,593925;;4.12.2024. 9:47:24;;35,370487;;4.12.2024. 9:46:58;;167,087708;;4.12.2024. 9:47:00;;-10,121104;;4.12.2024. 9:48:34;;-0,974359;;4.12.2024. 9:48:10;;35,495632;;4.12.2024. 9:48:38;;229,74559;;4.12.2024. 9:48:40;;-14,138079;;4.12.2024. 9:47:58;;-0,962962;;4.12.2024. 9:47:54;;35,449051;;
