METERIZ 110 HE ZAK/2 STRUJA ;;;;METERIZ 110 HE ZAK/2 RADNA SNAGA ;;;;METERIZ 110 HE ZAK/2 JALOVA SNAGA ;;;;METERIZ 110 HE ZAK/2 NAPON ;;;;HE ZAK 110 METERIZ/2 STRUJA ;;;;HE ZAK 110 METERIZ/2 RADNA SNAGA ;;;;HE ZAK 110 METERIZ/2 JALOVA SNAGA ;;;;HE ZAK 110 METERIZ/2 NAPON ;;;;
4.12.2024. 9:46:16;;0;;4.12.2024. 9:46:16;;-0,023957;;4.12.2024. 9:46:16;;0,758587;;4.12.2024. 9:30:36;;118,51577;;4.12.2024. 9:46:16;;0;;4.12.2024. 9:46:16;;-0,004096;;4.12.2024. 9:46:16;;-0,00218;;4.12.2024. 9:29:42;;118,668823;;
4.12.2024. 9:47:48;;0;;4.12.2024. 9:47:48;;-0,023957;;4.12.2024. 9:47:48;;0,758587;;4.12.2024. 9:30:56;;118,493965;;4.12.2024. 9:47:48;;0;;4.12.2024. 9:47:48;;-0,004096;;4.12.2024. 9:47:48;;-0,00218;;4.12.2024. 9:30:56;;118,598434;;
4.12.2024. 9:49:20;;0;;4.12.2024. 9:49:20;;-0,023957;;4.12.2024. 9:49:20;;0,758587;;4.12.2024. 9:31:28;;118,50692;;4.12.2024. 9:49:20;;0;;4.12.2024. 9:49:20;;-0,004096;;4.12.2024. 9:49:20;;-0,00218;;4.12.2024. 9:31:32;;118,598434;;
4.12.2024. 9:50:52;;0;;4.12.2024. 9:50:52;;-0,023957;;4.12.2024. 9:50:52;;0,758587;;4.12.2024. 9:32:00;;118,44722;;4.12.2024. 9:50:52;;0;;4.12.2024. 9:50:52;;-0,004096;;4.12.2024. 9:50:52;;-0,00218;;4.12.2024. 9:32:18;;118,582581;;
4.12.2024. 9:52:24;;0;;4.12.2024. 9:52:24;;-0,023957;;4.12.2024. 9:52:24;;0,758587;;4.12.2024. 9:33:54;;118,464127;;4.12.2024. 9:52:24;;0;;4.12.2024. 9:52:24;;-0,004096;;4.12.2024. 9:52:24;;-0,00218;;4.12.2024. 9:33:28;;118,598404;;
4.12.2024. 9:53:56;;0;;4.12.2024. 9:53:56;;-0,023957;;4.12.2024. 9:53:56;;0,758587;;4.12.2024. 9:34:00;;118,505554;;4.12.2024. 9:53:56;;0;;4.12.2024. 9:53:56;;-0,004096;;4.12.2024. 9:53:56;;-0,00218;;4.12.2024. 9:34:00;;118,611526;;
4.12.2024. 9:55:28;;0;;4.12.2024. 9:55:28;;-0,023957;;4.12.2024. 9:55:28;;0,758587;;4.12.2024. 9:34:54;;118,505554;;4.12.2024. 9:55:28;;0;;4.12.2024. 9:54:16;;-0,004096;;4.12.2024. 9:55:28;;-0,00218;;4.12.2024. 9:34:54;;118,637726;;
4.12.2024. 9:57:00;;0;;4.12.2024. 9:57:00;;-0,023957;;4.12.2024. 9:57:00;;0,758587;;4.12.2024. 9:35:32;;118,464096;;4.12.2024. 9:57:00;;0;;4.12.2024. 9:55:28;;0,001978;;4.12.2024. 9:57:00;;-0,00218;;4.12.2024. 9:35:32;;118,5867;;
4.12.2024. 9:58:32;;0;;4.12.2024. 9:58:32;;-0,023957;;4.12.2024. 9:58:32;;0,758587;;4.12.2024. 9:35:58;;118,464096;;4.12.2024. 9:58:32;;0;;4.12.2024. 9:57:00;;0,001978;;4.12.2024. 9:58:32;;-0,00218;;4.12.2024. 9:35:58;;118,5867;;
4.12.2024. 10:00:04;;0;;4.12.2024. 10:00:04;;-0,023957;;4.12.2024. 10:00:04;;0,758587;;4.12.2024. 9:37:04;;118,56131;;4.12.2024. 10:00:04;;0;;4.12.2024. 9:58:32;;0,001978;;4.12.2024. 10:00:04;;-0,00218;;4.12.2024. 9:37:04;;118,68013;;
